target_id	length	eff_length	est_counts	tpm
TRINITY_DN58194_c0_g1_i1.p1	1614	1422.45	3252	235.576
TRINITY_DN44994_c0_g2_i1.p1	405	214.914	1077	516.38
TRINITY_DN85195_c0_g1_i1.p1	378	188.805	1072	585.058
TRINITY_DN55097_c0_g1_i1.p1	762	570.478	1168	210.971
TRINITY_DN61701_c2_g2_i1.p1	807	615.453	255	42.6937
TRINITY_DN74456_c0_g1_i1.p1	891	699.453	622	91.6326
TRINITY_DN54015_c1_g1_i1.p1	381	191.722	849	456.305
TRINITY_DN52079_c0_g1_i1.p1	756	564.478	4249	775.637
TRINITY_DN57692_c1_g1_i1.p1	1257	1065.45	1309	126.597
TRINITY_DN60015_c1_g1_i1.p1	1992	1800.45	2844	162.767
TRINITY_DN59504_c0_g1_i2.p1	750	558.478	391.57	72.2473
TRINITY_DN59504_c0_g1_i1.p1	711	519.478	2551.43	506.099
TRINITY_DN59898_c0_g1_i3.p1	1236	1044.45	505	49.822
TRINITY_DN55584_c0_g1_i1.p1	765	573.478	242	43.4828
TRINITY_DN21976_c0_g1_i1.p1	2298	2106.45	2281	111.581
TRINITY_DN28971_c0_g1_i1.p1	765	573.478	3186	572.463
TRINITY_DN84741_c0_g1_i1.p1	543	351.579	890	260.847
TRINITY_DN57446_c1_g1_i1.p1	1977	1785.45	1018	58.7513
TRINITY_DN60080_c2_g1_i2.p1	960	768.453	190	25.4774
TRINITY_DN60801_c3_g1_i1.p1	3678	3486.45	5376	158.889
TRINITY_DN12407_c0_g1_i1.p1	543	351.579	4376	1282.54
TRINITY_DN52826_c1_g1_i1.p1	384	194.621	135	71.4763
TRINITY_DN61450_c8_g1_i1.p1	633	441.533	363	84.7152
TRINITY_DN52380_c0_g1_i1.p1	594	402.55	1199	306.915
TRINITY_DN90162_c0_g1_i1.p1	402	212.05	275	133.633
TRINITY_DN61569_c5_g1_i2.p1	1176	984.453	162	16.9566
TRINITY_DN55774_c0_g1_i1.p1	1239	1047.45	218	21.4457
TRINITY_DN17821_c0_g1_i1.p1	330	143.986	16235	11618.5
TRINITY_DN22111_c0_g1_i1.p1	546	354.579	10585	3076.07
TRINITY_DN73830_c0_g1_i1.p1	330	143.986	5487	3926.74
TRINITY_DN73644_c0_g1_i1.p1	1077	885.453	5080	591.176
TRINITY_DN52212_c1_g1_i1.p1	498	306.696	9482	3185.74
TRINITY_DN57290_c0_g1_i1.p1	855	663.453	5235	813.064
TRINITY_DN56049_c0_g1_i1.p1	537	345.593	576	171.742
TRINITY_DN49569_c0_g1_i1.p1	1047	855.453	7151	861.368
TRINITY_DN61146_c11_g1_i1.p1	1995	1803.45	717	40.9669
TRINITY_DN61909_c14_g1_i1.p1	639	447.533	1522	350.435
TRINITY_DN61116_c5_g1_i1.p1	1062	870.453	872	103.226
TRINITY_DN42753_c0_g1_i1.p1	1134	942.453	346	37.8299
