target_id	length	eff_length	est_counts	tpm
TRINITY_DN105904_c0_g1_i5.p1	1653	1430.78	6103	344.213
TRINITY_DN96257_c0_g2_i2.p1	405	190.062	909	385.946
TRINITY_DN93766_c1_g1_i1.p1	378	166.295	1658	804.567
TRINITY_DN101276_c2_g1_i2.p1	762	539.778	1543	230.679
TRINITY_DN102093_c2_g1_i1.p1	816	593.778	869	118.101
TRINITY_DN105791_c3_g1_i1.p1	891	668.778	730	88.0841
TRINITY_DN105934_c0_g1_i1.p1	381	168.915	913	436.174
TRINITY_DN106225_c1_g1_i1.p1	756	533.778	4869	736.098
TRINITY_DN105822_c0_g1_i1.p1	927	704.778	891	102.019
TRINITY_DN105475_c0_g1_i1.p1	1992	1769.78	3580	163.238
TRINITY_DN106127_c0_g1_i5.p1	750	527.778	922.673	141.076
TRINITY_DN106127_c0_g1_i1.p1	711	488.823	1550.33	255.934
TRINITY_DN98147_c0_g1_i2.p1	1236	1013.78	2464	196.135
TRINITY_DN101756_c1_g1_i1.p1	765	542.778	514	76.4183
TRINITY_DN104108_c0_g1_i1.p1	2298	2075.78	4237	164.715
TRINITY_DN104830_c1_g1_i1.p1	765	542.778	5123	761.655
TRINITY_DN94177_c0_g1_i1.p1	543	321.646	984	246.873
TRINITY_DN104920_c1_g1_i3.p1	1977	1754.78	1846	84.8919
TRINITY_DN102530_c2_g1_i1.p1	960	737.778	357	39.048
TRINITY_DN108568_c2_g1_i2.p1	3678	3455.78	7419	173.243
TRINITY_DN101872_c0_g2_i1.p1	543	321.646	3245	814.129
TRINITY_DN100886_c0_g1_i5.p1	384	171.543	408	191.931
TRINITY_DN100335_c1_g1_i1.p1	633	410.963	686	134.703
TRINITY_DN96060_c0_g1_i1.p1	633	410.963	2903	570.034
TRINITY_DN105015_c0_g1_i1.p1	402	187.401	466	200.665
TRINITY_DN109653_c1_g1_i7.p1	1176	953.778	346	29.2742
TRINITY_DN102511_c1_g1_i1.p1	1239	1016.78	357	28.3334
TRINITY_DN93076_c0_g1_i1.p1	330	126.224	20167	12893.1
TRINITY_DN96264_c0_g1_i1.p1	447	228.858	19838	6995.01
TRINITY_DN96747_c1_g1_i1.p1	330	126.224	11177	7145.64
TRINITY_DN108695_c0_g1_i2.p1	1077	854.778	7396	698.233
TRINITY_DN98400_c0_g1_i1.p1	501	280.449	9488	2730.09
TRINITY_DN106348_c0_g1_i1.p1	1101	878.778	9758	896.062
TRINITY_DN99980_c0_g1_i1.p1	537	315.723	530	135.465
TRINITY_DN102321_c0_g1_i4.p1	1062	839.778	3374	324.218
TRINITY_DN108463_c0_g1_i7.p1	2013	1790.78	1354	61.0146
TRINITY_DN106397_c4_g1_i1.p1	639	416.963	1717	332.299
TRINITY_DN97139_c2_g1_i1.p1	1074	851.778	1375	130.267
TRINITY_DN101980_c1_g1_i3.p1	1134	911.778	551	48.7662
TRINITY_DN100231_c0_g1_i1.p1	729	506.778	1940	308.916
TRINITY_DN101461_c2_g1_i1.p1	750	527.778	172	26.2987
TRINITY_DN109172_c1_g1_i1.p1	1722	1499.78	770	41.4305
TRINITY_DN100794_c0_g1_i1.p1	1314	1091.78	1131	83.5959
TRINITY_DN98037_c0_g1_i1.p2	804	581.778	2047	283.934
TRINITY_DN102601_c0_g1_i2.p1	1452	1229.78	7691	504.676
TRINITY_DN100623_c1_g1_i2.p1	1032	809.778	6427	640.47
TRINITY_DN99724_c0_g1_i1.p1	381	168.915	139	66.4055
TRINITY_DN99229_c0_g1_i1.p1	1413	1190.78	3183	215.706
TRINITY_DN97073_c0_g1_i1.p1	327	123.852	1770	1153.26
TRINITY_DN103043_c0_g1_i1.p1	804	581.778	1055	146.336
TRINITY_DN107833_c0_g1_i1.p1	951	728.778	546	60.458
TRINITY_DN97930_c0_g1_i1.p1	549	327.553	4304	1060.35
TRINITY_DN106686_c0_g1_i1.p1	1668	1445.78	4121	230.016
TRINITY_DN103798_c4_g1_i1.p1	1182	959.778	1154	97.0268
TRINITY_DN97179_c0_g1_i2.p1	612	390.059	4272	883.807
TRINITY_DN106570_c0_g1_i1.p1	2307	2084.78	4278	165.591
TRINITY_DN98019_c0_g1_i1.p1	531	309.813	2788	726.189
TRINITY_DN106374_c2_g1_i1.p1	1137	914.778	1028	90.6847
TRINITY_DN102395_c0_g1_i1.p1	1038	815.778	1702	168.362
TRINITY_DN99848_c0_g1_i1.p1	1152	929.778	42535	3691.68
TRINITY_DN105979_c0_g1_i1.p1	1803	1580.78	3731	190.463
TRINITY_DN104387_c0_g1_i1.p1	2373	2150.78	2658	99.7277
TRINITY_DN97594_c0_g1_i1.p1	417	201.074	2576	1033.82
TRINITY_DN98020_c0_g2_i4.p1	927	704.778	1062	121.599
TRINITY_DN107869_c3_g1_i1.p1	1161	938.778	527	45.3006
TRINITY_DN103824_c0_g1_i1.p1	2013	1790.78	3509	158.124
TRINITY_DN101003_c0_g1_i1.p1	966	743.778	1211	131.388
TRINITY_DN99829_c2_g1_i1.p1	876	653.778	1900	234.52
TRINITY_DN98778_c1_g1_i2.p1	1722	1499.78	1073	57.7337
TRINITY_DN102680_c0_g1_i2.p2	693	470.831	4085	700.138
TRINITY_DN107506_c0_g1_i1.p1	693	470.831	3999	685.399
TRINITY_DN101006_c0_g1_i1.p1	774	551.778	2134	312.095
TRINITY_DN105287_c1_g1_i1.p1	540	318.699	2733	692.015
TRINITY_DN101567_c0_g1_i1.p1	516	295.118	491	134.258
TRINITY_DN104404_c0_g1_i2.p1	1215	992.778	674	54.7853
TRINITY_DN94634_c0_g1_i1.p1	555	333.468	1770	428.327
TRINITY_DN92689_c0_g1_i1.p1	330	126.224	912	583.056
TRINITY_DN107927_c0_g1_i1.p1	3771	3548.78	7049	160.29
TRINITY_DN105492_c3_g1_i2.p1	2016	1793.78	4036	181.568
TRINITY_DN101969_c0_g1_i1.p1	633	410.963	1249	245.254
TRINITY_DN97746_c0_g1_i1.p2	432	214.847	480	180.289
TRINITY_DN106705_c0_g1_i4.p1	723	500.808	639	102.964
TRINITY_DN95611_c0_g1_i1.p1	798	575.778	1177	164.96
TRINITY_DN98454_c0_g1_i5.p1	615	393.035	271	55.6409
TRINITY_DN104179_c1_g1_i3.p1	939	716.778	388	43.6821
TRINITY_DN98357_c0_g1_i1.p1	1167	944.778	1196	102.155
TRINITY_DN107082_c1_g1_i1.p1	1047	824.778	3085	301.838
TRINITY_DN92781_c0_g1_i1.p1	315	114.513	1436	1011.94
TRINITY_DN88562_c0_g1_i1.p1	384	171.543	2434	1145
TRINITY_DN98093_c0_g1_i3.p1	885	662.778	2412	293.674
TRINITY_DN96667_c0_g1_i1.p1	417	201.074	976	391.698
TRINITY_DN106168_c0_g4_i3.p1	579	357.261	280	63.2454
TRINITY_DN98334_c0_g1_i1.p1	1290	1067.78	33972	2567.42
TRINITY_DN104259_c3_g1_i1.p1	816	593.778	191	25.9577
TRINITY_DN97525_c0_g1_i1.p1	672	449.865	15100	2708.64
TRINITY_DN104900_c0_g1_i1.p1	1059	836.778	646	62.2987
TRINITY_DN100296_c2_g5_i2.p1	495	274.697	12937	3800.46
TRINITY_DN98809_c0_g6_i1.p1	441	223.213	2634	952.253
TRINITY_DN101009_c0_g1_i1.p1	975	752.778	918	98.4084
TRINITY_DN106046_c0_g2_i3.p1	1509	1286.78	1761	110.436
TRINITY_DN105450_c0_g1_i2.p1	2202	1979.78	5226	213.015
TRINITY_DN98989_c0_g1_i1.p1	909	686.778	1027	120.673
TRINITY_DN95340_c0_g2_i1.p1	471	251.689	14317	4590.33
TRINITY_DN98783_c0_g1_i1.p1	780	557.778	2596	375.578
