target_id	length	eff_length	est_counts	tpm
TRINITY_DN10000_c0_g2_i1.p1	1665	1537.74	7696	733.492
TRINITY_DN10027_c0_g1_i1.p1	405	278.484	358	188.406
TRINITY_DN10088_c0_g2_i1.p1	378	251.883	973	566.143
TRINITY_DN10114_c0_g1_i1.p1	762	634.736	1911	441.245
TRINITY_DN10134_c0_g1_i1.p1	807	679.736	543	117.077
TRINITY_DN10145_c0_g1_i1.p1	909	781.736	752	140.984
TRINITY_DN10177_c0_g1_i1.p1	381	254.814	594	341.645
TRINITY_DN10212_c0_g3_i1.p1	765	637.736	610	140.185
TRINITY_DN10333_c0_g3_i1.p1	1260	1132.74	1606	207.792
TRINITY_DN10504_c0_g1_i1.p1	501	373.934	349	136.786
TRINITY_DN10536_c0_g1_i1.p1	750	622.744	2711.19	638.061
TRINITY_DN10536_c0_g5_i1.p1	711	583.751	1767.81	443.834
TRINITY_DN10564_c0_g1_i1.p1	1311	1183.74	1694	209.735
TRINITY_DN10609_c0_g1_i1.p1	765	637.736	935	214.873
TRINITY_DN10748_c0_g1_i1.p1	2298	2170.74	6332	427.51
TRINITY_DN10818_c0_g1_i1.p1	765	637.736	2447	562.348
TRINITY_DN10827_c0_g2_i1.p1	543	415.891	796	280.508
TRINITY_DN10856_c0_g1_i1.p1	1254	1126.74	592	77.0037
TRINITY_DN10866_c0_g1_i1.p1	945	817.736	762	136.57
TRINITY_DN1102_c0_g1_i1.p1	2202	2074.74	2272	160.494
TRINITY_DN1119_c0_g1_i1.p1	543	415.891	928	327.024
TRINITY_DN11245_c0_g1_i1.p1	339	213.772	151	103.524
TRINITY_DN11271_c0_g1_i1.p1	513	385.911	76	28.8628
TRINITY_DN11314_c0_g1_i1.p1	594	466.821	651	204.382
TRINITY_DN11384_c0_g1_i1.p1	402	275.521	1736	923.436
TRINITY_DN11436_c0_g1_i1.p1	1176	1048.74	1242	173.567
TRINITY_DN11577_c0_g1_i1.p1	1227	1099.74	1500	199.901
TRINITY_DN11686_c0_g1_i1.p1	405	278.484	19055	10028.2
TRINITY_DN11817_c0_g1_i1.p1	447	320.127	4729	2165
TRINITY_DN11995_c0_g1_i1.p1	330	205.061	2526	1805.36
TRINITY_DN1199_c0_g1_i1.p1	462	335.043	48	20.9968
TRINITY_DN1206_c0_g1_i1.p1	498	370.943	22274	8800.41
TRINITY_DN12105_c0_g1_i1.p2	573	445.855	9354	3074.79
TRINITY_DN12184_c0_g1_i1.p1	537	409.891	380	135.871
TRINITY_DN121_c0_g1_i1.p1	489	361.975	346	140.091
