target_id	length	eff_length	est_counts	tpm
TRINITY_DN786_c0_g2_i1.p1	1617	1421.21	6987	424.559
TRINITY_DN69141_c2_g1_i1.p1	405	212.001	935	380.872
TRINITY_DN82093_c0_g1_i1.p1	378	186.454	1580	731.798
TRINITY_DN62389_c0_g1_i3.p1	762	566.212	1030	157.096
TRINITY_DN70548_c0_g1_i3.p1	816	620.212	723	100.671
TRINITY_DN50573_c0_g1_i1.p1	894	698.212	536	66.2954
TRINITY_DN49108_c0_g2_i1.p1	444	249.505	1038	359.273
TRINITY_DN105888_c0_g1_i1.p1	756	560.212	6331	975.946
TRINITY_DN11578_c0_g2_i1.p1	1260	1064.21	1475	119.693
TRINITY_DN115293_c0_g1_i1.p1	1992	1796.21	2908	139.812
TRINITY_DN54656_c0_g2_i1.p1	750	554.212	1268.26	197.623
TRINITY_DN54656_c0_g1_i1.p1	711	515.22	2474.74	414.804
TRINITY_DN13400_c0_g1_i1.p1	795	599.212	3814	549.675
TRINITY_DN105308_c0_g1_i1.p1	765	569.212	303	45.97
TRINITY_DN88439_c0_g1_i1.p1	2298	2102.21	4350	178.698
TRINITY_DN36280_c0_g1_i1.p1	765	569.212	3950	599.279
TRINITY_DN114335_c0_g1_i1.p1	543	347.385	1275	316.961
TRINITY_DN106207_c0_g1_i1.p1	1968	1772.21	1049	51.1171
TRINITY_DN70504_c4_g1_i1.p1	945	749.212	426	49.1033
TRINITY_DN88202_c0_g1_i1.p1	3678	3482.21	14140	350.672
TRINITY_DN114785_c0_g1_i1.p1	543	347.385	3438	854.675
TRINITY_DN81707_c0_g1_i1.p1	384	192.091	466	209.5
TRINITY_DN88191_c0_g1_i1.p1	633	437.26	679	134.102
TRINITY_DN620_c0_g2_i1.p1	633	437.26	4418	872.554
TRINITY_DN56094_c0_g4_i1.p1	402	209.163	656	270.848
TRINITY_DN69378_c2_g1_i1.p1	1176	980.212	907	79.9086
TRINITY_DN67525_c0_g1_i1.p1	1227	1031.21	322	26.9658
TRINITY_DN785_c0_g1_i1.p1	330	142.688	21036	12731.6
TRINITY_DN41625_c0_g1_i1.p1	447	252.433	10663	3647.87
TRINITY_DN105531_c0_g1_i1.p1	330	142.688	9241	5592.91
TRINITY_DN104961_c0_g1_i1.p1	1077	881.212	16599	1626.7
TRINITY_DN16435_c0_g1_i1.p1	501	305.625	10202	2882.72
TRINITY_DN79960_c0_g1_i1.p1	861	665.212	9326	1210.71
TRINITY_DN88245_c0_g1_i1.p1	537	341.41	552	139.627
TRINITY_DN113665_c0_g1_i1.p1	1083	887.212	8195	797.678
TRINITY_DN113730_c0_g1_i1.p1	2154	1958.21	2000	88.2016
TRINITY_DN69060_c13_g1_i1.p1	639	443.26	1905	371.144
TRINITY_DN97613_c0_g1_i1.p1	1074	878.212	668	65.6876
TRINITY_DN113427_c0_g1_i1.p1	1125	929.212	516	47.9558
TRINITY_DN41863_c0_g1_i1.p1	732	536.22	4365	702.987
TRINITY_DN69937_c2_g1_i1.p1	750	554.212	561	87.4164
TRINITY_DN69334_c0_g1_i2.p1	1722	1526.21	399	22.5769
TRINITY_DN70655_c13_g1_i1.p1	1314	1118.21	1541	119.01
TRINITY_DN97600_c0_g1_i1.p1	804	608.212	1100	156.187
TRINITY_DN64442_c1_g1_i1.p1	1452	1256.21	5495	377.756
TRINITY_DN113644_c0_g1_i1.p1	1032	836.212	7166	740.059
TRINITY_DN64461_c6_g1_i1.p1	381	189.296	228	104.016
TRINITY_DN98196_c0_g1_i1.p1	1404	1208.21	2794	199.705
TRINITY_DN96605_c0_g1_i1.p1	327	140.116	2155	1328.2
TRINITY_DN105648_c0_g1_i1.p1	804	608.212	992	140.852
TRINITY_DN70905_c1_g1_i2.p1	951	755.212	543	62.0922
TRINITY_DN70146_c1_g2_i1.p1	549	353.385	2890	706.246
TRINITY_DN88406_c0_g1_i1.p1	1668	1472.21	4716	276.637
TRINITY_DN114221_c0_g1_i1.p1	1179	983.212	649	57.0038
TRINITY_DN80065_c0_g1_i1.p1	606	410.284	5561	1170.51
TRINITY_DN88181_c0_g1_i1.p1	2307	2111.21	5494	224.731
TRINITY_DN16690_c0_g1_i1.p1	531	335.429	2501	643.901
TRINITY_DN61675_c1_g1_i1.p1	1137	941.212	1391	127.628
TRINITY_DN71036_c0_g1_i1.p1	1035	839.212	1226	126.161
TRINITY_DN113410_c0_g1_i1.p1	1119	923.212	25906	2423.29
TRINITY_DN63439_c1_g1_i1.p1	1803	1607.21	4349	233.681
TRINITY_DN37048_c0_g2_i1.p1	2373	2177.21	1529	60.6475
TRINITY_DN96625_c0_g1_i1.p1	417	223.461	3065	1184.5
TRINITY_DN62851_c0_g1_i1.p1	939	743.212	646	75.063
TRINITY_DN62367_c0_g2_i1.p1	1161	965.212	906	81.0609
TRINITY_DN96981_c0_g1_i1.p1	2016	1820.21	2219	105.279
TRINITY_DN67436_c1_g3_i1.p1	966	770.212	1545	173.23
TRINITY_DN70505_c3_g1_i2.p1	876	680.212	1852	235.127
TRINITY_DN69336_c15_g1_i1.p1	1671	1475.21	579	33.8946
TRINITY_DN114673_c0_g1_i1.p1	693	497.227	5960	1035.14
TRINITY_DN61740_c0_g2_i1.p1	693	497.227	2882	500.548
TRINITY_DN98406_c0_g1_i1.p1	774	578.212	2169	323.95
TRINITY_DN70918_c1_g1_i1.p1	540	344.4	4986	1250.25
TRINITY_DN41978_c0_g1_i1.p1	516	320.523	647	174.322
TRINITY_DN70049_c1_g1_i1.p1	1215	1019.21	750	63.5481
