target_id	length	eff_length	est_counts	tpm
TRINITY_DN43190_c0_g1_i3.p1	1617	1401.74	7612	356.166
TRINITY_DN46618_c0_g1_i1.p1	405	195.792	1317	441.176
TRINITY_DN35843_c0_g1_i1.p1	378	171.233	2264	867.178
TRINITY_DN48405_c5_g1_i4.p1	753	537.776	1604	195.625
TRINITY_DN45541_c3_g1_i1.p1	807	591.754	575	63.7304
TRINITY_DN39771_c0_g1_i1.p1	891	675.746	723	70.1738
TRINITY_DN38522_c1_g1_i1.p1	381	173.903	1768	666.799
TRINITY_DN46077_c0_g1_i1.p1	756	540.776	11602	1407.14
TRINITY_DN45770_c1_g1_i1.p1	927	711.746	1307	120.44
TRINITY_DN43697_c2_g2_i1.p1	1992	1776.74	3403	125.62
TRINITY_DN45629_c0_g1_i4.p1	750	534.782	1481.42	181.686
TRINITY_DN45629_c0_g1_i11.p1	711	495.822	2812.58	372.048
TRINITY_DN43289_c6_g1_i5.p1	1305	1089.74	1097	66.0245
TRINITY_DN41670_c1_g1_i1.p1	765	549.769	420	50.106
TRINITY_DN44354_c0_g1_i1.p1	2298	2082.74	4922	154.999
TRINITY_DN40004_c0_g1_i1.p1	765	549.769	7060	842.258
TRINITY_DN44361_c4_g6_i1.p1	543	328.609	1530	305.374
TRINITY_DN45246_c0_g1_i3.p1	1977	1761.74	1124	41.8452
TRINITY_DN44088_c1_g1_i1.p1	945	729.746	428	38.4673
TRINITY_DN48004_c0_g2_i1.p1	3678	3462.74	9206	174.37
TRINITY_DN38054_c0_g1_i1.p1	543	328.609	4463	890.773
TRINITY_DN46413_c2_g1_i1.p1	384	176.577	799	296.778
TRINITY_DN47727_c2_g1_i2.p1	633	417.981	703	110.311
TRINITY_DN36925_c0_g1_i1.p1	633	417.981	2526	396.366
TRINITY_DN35737_c0_g1_i1.p1	402	193.026	855	290.516
TRINITY_DN48207_c0_g1_i3.p1	1314	1098.74	819	48.8889
TRINITY_DN43381_c0_g1_i1.p1	1239	1023.74	306	19.6044
TRINITY_DN35147_c0_g1_i1.p1	330	130.059	22792	11493.7
TRINITY_DN36235_c0_g1_i1.p1	447	235.205	18661	5203.66
TRINITY_DN38149_c0_g1_i1.p1	330	130.059	6275	3164.41
TRINITY_DN47551_c0_g1_i3.p1	1077	861.737	17642	1342.74
TRINITY_DN39943_c0_g1_i2.p1	501	287.374	15843	3615.85
TRINITY_DN45956_c0_g1_i1.p1	858	642.754	7923	808.472
TRINITY_DN40853_c0_g1_i1.p1	537	322.713	704	143.079
TRINITY_DN41747_c0_g1_i1.p1	1098	882.737	8708	647.005
TRINITY_DN47557_c2_g1_i3.p1	2013	1797.74	797	29.0772
TRINITY_DN46645_c1_g2_i1.p1	639	423.96	2555	395.263
TRINITY_DN42658_c1_g1_i1.p1	1083	867.737	512	38.6992
TRINITY_DN40575_c0_g1_i1.p1	1134	918.737	353	25.2002
TRINITY_DN41402_c0_g1_i1.p1	732	516.809	5706	724.139
