target_id	length	eff_length	est_counts	tpm
TRINITY_DN70736_c0_g1_i1.p1	1617	1420.34	3355	215.609
TRINITY_DN79063_c0_g1_i1.p1	396	201.707	837	378.764
TRINITY_DN87482_c0_g1_i1.p1	378	184.622	1901	939.861
TRINITY_DN68427_c0_g1_i1.p1	762	565.384	1078	174.036
TRINITY_DN74737_c0_g1_i2.p1	816	619.367	1104	162.699
TRINITY_DN68275_c0_g1_i1.p1	963	766.336	650	77.421
TRINITY_DN75915_c10_g3_i1.p1	381	187.49	560	272.63
TRINITY_DN74614_c1_g1_i1.p1	756	559.384	5837	952.454
TRINITY_DN73138_c0_g1_i1.p1	1260	1063.34	714	61.2904
TRINITY_DN52527_c1_g1_i1.p1	1083	886.336	1679	172.909
TRINITY_DN73045_c0_g2_i2.p1	750	553.384	350.626	57.8338
TRINITY_DN73045_c0_g2_i3.p1	711	514.384	1764.37	313.089
TRINITY_DN72562_c0_g1_i1.p1	1341	1144.34	1098	87.5817
TRINITY_DN72994_c2_g1_i1.p1	765	568.367	191	30.6739
TRINITY_DN67932_c0_g1_i1.p1	2298	2101.34	3807	165.368
TRINITY_DN11144_c0_g1_i1.p1	765	568.367	3612	580.074
TRINITY_DN32130_c0_g1_i1.p1	543	346.549	902	237.578
TRINITY_DN74376_c0_g1_i1.p1	1977	1780.34	1691	86.6974
TRINITY_DN77023_c3_g1_i1.p1	960	763.336	415	49.6246
TRINITY_DN76978_c4_g1_i1.p1	3678	3481.34	6153	161.326
TRINITY_DN13454_c0_g1_i1.p1	543	346.549	4411	1161.82
TRINITY_DN77381_c0_g1_i1.p1	357	164.957	318	175.963
TRINITY_DN72996_c4_g1_i1.p1	633	436.404	677	141.6
TRINITY_DN62397_c0_g1_i1.p1	594	397.434	3646	837.367
TRINITY_DN68676_c0_g1_i1.p1	402	207.499	569	250.3
TRINITY_DN77042_c4_g1_i1.p1	1176	979.336	277	25.8174
TRINITY_DN71489_c0_g1_i2.p1	1239	1042.34	199	17.4265
TRINITY_DN67821_c0_g1_i1.p1	330	140.411	12323	8010.87
TRINITY_DN70914_c0_g1_i1.p1	570	373.48	16777	4100.26
TRINITY_DN62021_c0_g1_i1.p1	330	140.411	9619	6253.07
TRINITY_DN74899_c0_g1_i1.p1	1077	880.336	7304	757.315
