position,"value"
1,0
2,0
3,0
4,2
5,3
6,3
7,2
8,5
9,6
10,6
11,9
12,9
13,10
14,27
15,34
16,38
17,39
18,44
19,60
20,62
21,63
22,64
23,63
24,64
25,65
26,67
27,68
28,68
29,67
30,67
31,69
32,69
33,67
34,69
35,69
36,69
37,68
38,68
39,70
40,71
41,71
42,71
43,78
44,85
45,85
46,89
47,88
48,97
49,96
50,99
51,99
52,100
53,100
54,104
55,117
56,128
57,126
58,131
59,130
60,133
61,137
62,134
63,137
64,137
65,136
66,137
67,138
68,138
69,139
70,140
71,140
72,139
73,140
74,138
75,136
76,138
77,136
78,140
79,133
80,137
81,134
82,134
83,132
84,138
85,140
86,140
87,139
88,140
89,138
90,138
91,139
92,139
93,137
94,129
95,138
96,137
97,138
98,139
99,138
100,140
101,139
102,138
103,138
104,138
105,137
106,135
107,135
108,137
109,134
110,134
111,129
112,129
113,126
114,127
115,101
116,103
117,96
118,95
119,93
120,75
121,77
122,75
123,74
124,75
125,72
126,73
127,71
128,67
129,71
130,70
131,72
132,70
133,68
134,69
135,71
136,70
137,69
138,68
139,71
140,70
141,67
142,65
143,63
144,52
145,66
146,65
147,62
148,55
149,38
150,39
151,40
152,90
153,102
154,107
155,141
156,145
157,192
158,209
159,209
160,218
161,225
162,270
163,271
164,272
165,271
166,279
167,288
168,288
169,293
170,296
171,299
172,317
173,321
174,323
175,327
176,332
177,346
178,353
179,352
180,355
181,367
182,425
183,428
184,429
185,433
186,440
187,458
188,457
189,465
190,463
191,465
192,467
193,468
194,466
195,469
196,464
197,504
198,514
199,535
200,544
201,545
202,543
203,543
204,552
205,553
206,557
207,555
208,561
209,572
210,570
211,572
212,576
213,577
214,577
215,577
216,575
217,570
218,563
219,606
220,623
221,628
222,635
223,645
224,652
225,653
226,653
227,663
228,659
229,690
230,712
231,722
232,733
233,776
234,788
235,791
236,804
237,805
238,829
239,833
240,838
241,838
242,840
243,842
244,850
245,860
246,854
247,852
248,868
249,867
250,864
251,875
252,879
253,843
254,840
255,830
256,806
257,816
258,796
259,795
260,801
261,800
262,798
263,776
264,784
265,785
266,787
267,793
268,792
269,798
270,806
271,807
272,839
273,827
274,822
275,829
276,832
277,839
278,846
279,847
280,851
