target_id	length	eff_length	est_counts	tpm
TRINITY_DN856_c0_g1_i1.p1	1614	1473	10280	725.348
TRINITY_DN72078_c0_g1_i1.p1	405	265.76	728	284.706
TRINITY_DN9643_c0_g1_i1.p1	378	239.492	1017	441.354
TRINITY_DN55137_c0_g1_i1.p1	762	621.034	5660	947.233
TRINITY_DN75410_c1_g2_i3.p1	792	651.028	860	137.295
TRINITY_DN53530_c0_g1_i1.p1	891	750	912	126.383
TRINITY_DN63285_c0_g1_i1.p2	381	242.404	853	365.734
TRINITY_DN58832_c0_g1_i1.p1	756	615.034	960	162.229
TRINITY_DN3188_c0_g2_i1.p1	1257	1116	3046	283.675
TRINITY_DN95144_c0_g1_i1.p1	741	600.04	1168	202.31
TRINITY_DN47173_c0_g1_i1.p1	750	609.034	2951.75	503.725
TRINITY_DN47173_c0_g2_i1.p1	711	570.059	4908.25	894.876
TRINITY_DN73201_c1_g1_i2.p1	1236	1095	741	70.3332
TRINITY_DN18570_c0_g1_i1.p1	765	624.034	3721	619.737
TRINITY_DN9270_c0_g1_i1.p1	2298	2157	8302	400.026
TRINITY_DN59775_c0_g1_i1.p1	765	624.034	1899	316.281
TRINITY_DN51962_c0_g1_i1.p1	543	402.254	565	145.984
TRINITY_DN68177_c0_g1_i1.p1	1977	1836	1744	98.7256
TRINITY_DN70082_c0_g1_i1.p1	960	819	837	106.218
TRINITY_DN76067_c0_g1_i1.p1	3678	3537	3549	104.286
TRINITY_DN81128_c0_g1_i1.p1	543	402.254	2732	705.889
TRINITY_DN67729_c0_g1_i2.p1	384	245.251	423	179.261
TRINITY_DN60420_c0_g1_i1.p1	633	492.092	277	58.5045
TRINITY_DN53741_c0_g1_i1.p1	594	453.136	1119	256.66
TRINITY_DN82572_c0_g1_i1.p1	402	262.837	2427	959.707
TRINITY_DN63695_c0_g1_i2.p1	1176	1035	2265	227.449
TRINITY_DN98606_c0_g1_i1.p1	1239	1098	3946	373.517
TRINITY_DN9461_c0_g3_i1.p1	408	268.707	32845	12704.2
TRINITY_DN98640_c0_g2_i1.p1	540	399.262	8275	2154.1
TRINITY_DN74127_c0_g3_i3.p1	543	402.254	1738	449.061
TRINITY_DN69366_c0_g1_i1.p1	1077	936	454	50.4122
TRINITY_DN59542_c0_g2_i1.p1	498	357.495	22582	6565.21
TRINITY_DN70223_c0_g1_i1.p1	873	732	18257	2592.24
TRINITY_DN90433_c0_g1_i1.p1	537	396.274	908	238.147
TRINITY_DN65657_c0_g1_i1.p1	1065	924	1139	128.117
TRINITY_DN70881_c0_g1_i1.p1	1995	1854	3308	185.444
TRINITY_DN75353_c0_g1_i2.p1	639	498.087	198	41.3158
TRINITY_DN71847_c0_g1_i2.p1	1062	921	668	75.3829
TRINITY_DN98561_c0_g1_i1.p1	1134	993	1374	143.811
TRINITY_DN3616_c0_g1_i1.p1	729	588.059	1082	191.233
TRINITY_DN67942_c0_g1_i2.p1	711	570.059	522	95.1715
TRINITY_DN69987_c0_g1_i2.p1	1239	1098	9931	940.041
TRINITY_DN44702_c0_g1_i1.p1	1314	1173	2371	210.082
TRINITY_DN77053_c0_g1_i1.p1	804	663.021	2005	314.299
TRINITY_DN44031_c0_g1_i1.p1	1452	1311	8889	704.703
TRINITY_DN46487_c0_g1_i1.p1	1032	891	1438	167.74
TRINITY_DN90200_c0_g3_i1.p1	429	289.313	153	54.964
TRINITY_DN36278_c0_g1_i1.p1	1200	1059	6512	639.108
TRINITY_DN18121_c0_g1_i1.p1	327	190.837	1665	906.794
TRINITY_DN94688_c0_g1_i1.p1	816	675.021	2043	314.563
TRINITY_DN85971_c0_g1_i1.p1	945	804	782	101.09
TRINITY_DN71160_c0_g1_i1.p1	549	408.232	3379	860.273
TRINITY_DN19400_c0_g1_i1.p1	1668	1527	5788	393.954
TRINITY_DN59983_c0_g1_i1.p1	1182	1041	395	39.4369
TRINITY_DN90095_c0_g1_i1.p1	606	465.126	1343	300.096
TRINITY_DN70746_c0_g3_i1.p1	2337	2196	31073	1470.64
TRINITY_DN81827_c0_g1_i1.p1	531	390.282	2567	683.601
TRINITY_DN56601_c0_g1_i1.p1	1131	990	1684	176.792
TRINITY_DN36419_c0_g1_i1.p1	1056	915	13396	1521.63
TRINITY_DN30214_c0_g1_i1.p1	1092	951	3654	399.341
TRINITY_DN33289_c0_g1_i1.p1	1803	1662	1788	111.813
TRINITY_DN55030_c0_g1_i1.p1	2373	2232	7490	348.774
