target_id	length	eff_length	est_counts	tpm
lcl|NW_026851514.1_cds_XP_060579799.1_1	1380	1012.4	0	0
lcl|NW_026851514.1_cds_XP_060597846.1_2	390	86.0533	2	3.45571
lcl|NW_026851515.1_cds_XP_060584853.1_3	633	271.785	0	0
lcl|NW_026851515.1_cds_XP_060561973.1_4	810	443.721	0	0
lcl|NW_026851515.1_cds_XP_060572685.1_5	582	225.996	0	0
lcl|NW_026851515.1_cds_XP_060581950.1_6	1119	751.399	0	0
lcl|NW_026851515.1_cds_XP_060582695.1_7	1119	751.399	0	0
lcl|NW_026851515.1_cds_XP_060583779.1_8	1047	679.399	0	0
lcl|NW_026851515.1_cds_XP_060579431.1_9	1644	1276.4	2	0.23298
lcl|NW_026851516.1_cds_XP_060593541.1_10	2469	2101.4	0	0
lcl|NW_026851516.1_cds_XP_060585952.1_11	978	610.461	0	0
lcl|NW_026851516.1_cds_XP_060597127.1_12	1209	841.399	2	0.353429
lcl|NW_026851516.1_cds_XP_060601044.1_13	1584	1216.4	0	0
lcl|NW_026851516.1_cds_XP_060594951.1_14	1416	1048.4	0	0
lcl|NW_026851516.1_cds_XP_060596066.1_15	1686	1318.4	0	0
lcl|NW_026851516.1_cds_XP_060587036.1_16	1692	1324.4	0	0
lcl|NW_026851516.1_cds_XP_060588069.1_17	1692	1324.4	0	0
lcl|NW_026851516.1_cds_XP_060598190.1_18	6723	6355.4	10.5	0.245652
lcl|NW_026851516.1_cds_XP_060598907.1_19	6723	6355.4	10.5	0.245652
lcl|NW_026851516.1_cds_XP_060590228.1_20	1902	1534.4	0	0
lcl|NW_026851516.1_cds_XP_060599980.1_21	3570	3202.4	0	0
lcl|NW_026851516.1_cds_XP_060591314.1_22	507	163.719	0	0
lcl|NW_026851516.1_cds_XP_060589152.1_23	1692	1324.4	0	0
lcl|NW_026851516.1_cds_XP_060592423.1_24	582	225.996	0	0
lcl|NW_026851517.1_cds_XP_060602861.1_25	2499	2131.4	0	0
lcl|NW_026851517.1_cds_XP_060604314.1_26	2400	2032.4	0	0
lcl|NW_026851517.1_cds_XP_060603604.1_27	2499	2131.4	10	0.697605
lcl|NW_026851517.1_cds_XP_060602152.1_28	2520	2152.4	0	0
