position,"value"
1,0
2,0
3,0
4,0
5,0
6,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,11
15,11
16,11
17,11
18,27
19,44
20,44
21,44
22,44
23,44
24,45
25,44
26,45
27,45
28,45
29,45
30,45
31,45
32,45
33,45
34,44
35,45
36,45
37,45
38,45
39,45
40,45
41,45
42,45
43,47
44,49
45,48
46,50
47,50
48,59
49,58
50,57
51,59
52,59
53,58
54,59
55,60
56,60
57,61
58,61
59,59
60,62
61,62
62,62
63,62
64,61
65,60
66,62
67,59
68,62
69,62
70,60
71,60
72,59
73,62
74,62
75,61
76,61
77,61
78,60
79,59
80,61
81,61
82,59
83,61
84,62
85,62
86,62
87,62
88,62
89,62
90,61
91,62
92,62
93,62
94,61
95,61
96,61
97,61
98,62
99,62
100,62
101,62
102,62
103,62
104,61
105,62
106,62
107,60
108,62
109,62
110,62
111,62
112,61
113,61
114,58
115,50
116,38
117,37
118,34
119,35
120,18
121,18
122,18
123,18
124,17
125,16
126,17
127,17
128,17
129,17
130,16
131,16
132,17
133,17
134,17
135,17
136,17
137,16
138,16
139,17
140,17
141,17
142,17
143,16
144,13
145,13
146,12
147,11
148,10
149,2
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
198,1
199,4
200,4
201,4
202,4
203,4
204,4
205,5
206,6
207,6
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,9
221,9
222,11
223,15
224,15
225,18
226,18
227,19
228,36
229,39
230,42
231,41
232,56
233,56
234,56
235,55
236,56
237,56
238,55
239,57
240,57
241,55
242,56
243,57
244,56
245,56
246,57
247,55
248,57
249,57
250,59
251,59
252,59
253,58
254,59
255,58
256,59
257,59
258,62
259,63
260,63
261,63
262,63
263,63
264,64
265,65
266,64
267,65
268,65
269,65
270,65
271,64
272,64
273,65
274,65
275,64
276,65
277,65
278,64
279,65
280,65
281,64
282,65
283,64
284,66
285,65
286,66
287,66
288,67
289,65
290,66
291,64
292,67
293,66
294,70
295,70
296,72
297,73
298,74
299,74
300,70
301,71
302,71
303,69
304,69
305,69
306,70
307,73
308,73
309,72
310,74
311,74
312,75
313,75
314,75
