target_id	length	eff_length	est_counts	tpm
TRINITY_DN35861_c0_g1_i2.p1	1617	1402.64	7264	370.748
TRINITY_DN31148_c0_g1_i2.p1	405	196.239	1168	426.095
TRINITY_DN28674_c0_g1_i1.p1	378	171.608	1724	719.199
TRINITY_DN35151_c0_g1_i5.p1	810	595.652	2486	298.784
TRINITY_DN38144_c3_g1_i4.p1	816	601.652	558	66.3953
TRINITY_DN33395_c0_g1_i1.p1	891	676.636	635	67.1842
TRINITY_DN39729_c2_g4_i1.p1	456	244.388	1547	453.168
TRINITY_DN39040_c0_g1_i1.p1	756	541.667	8621	1139.39
TRINITY_DN39789_c3_g1_i4.p1	1260	1045.64	1861	127.413
TRINITY_DN34867_c1_g1_i1.p1	1260	1045.64	2445	167.397
TRINITY_DN38583_c0_g1_i2.p1	750	535.674	1007.16	134.601
TRINITY_DN38583_c0_g1_i1.p1	711	496.688	2100.84	302.801
TRINITY_DN35492_c0_g1_i1.p1	1236	1021.64	2495	174.833
TRINITY_DN36407_c1_g1_i1.p1	765	550.667	433	56.2921
TRINITY_DN37452_c0_g1_i1.p1	2298	2083.64	3709	127.433
TRINITY_DN34355_c0_g1_i1.p1	765	550.667	5752	747.788
TRINITY_DN29573_c0_g1_i1.p1	543	329.352	1042	226.494
TRINITY_DN38051_c0_g1_i2.p1	1977	1762.64	1295	52.5964
TRINITY_DN38809_c4_g1_i1.p1	960	745.636	258	24.7709
TRINITY_DN40272_c3_g1_i1.p1	3678	3463.64	9895	204.518
TRINITY_DN31387_c0_g1_i1.p1	543	329.352	4152	902.497
TRINITY_DN39718_c4_g4_i1.p1	384	176.991	588	237.834
TRINITY_DN38480_c2_g1_i1.p1	633	418.815	579	98.9703
TRINITY_DN31404_c0_g1_i2.p1	633	418.815	2185	373.489
TRINITY_DN30662_c0_g1_i1.p1	402	193.434	581	215.026
TRINITY_DN41185_c1_g1_i1.p1	1176	961.636	485	36.106
TRINITY_DN35979_c0_g1_i1.p1	1239	1024.64	233	16.2793
TRINITY_DN28087_c0_g1_i1.p1	330	130.067	28320	15587.4
TRINITY_DN36875_c1_g1_i3.p1	570	356.103	18124	3643.57
TRINITY_DN32110_c0_g1_i1.p1	330	130.067	6733	3705.86
TRINITY_DN40496_c0_g1_i1.p1	1077	862.636	12233	1015.21
TRINITY_DN33787_c0_g1_i1.p2	501	287.999	12685	3153.17
TRINITY_DN38637_c2_g1_i1.p1	858	643.636	9820	1092.24
