target_id	length	eff_length	est_counts	tpm
TRINITY_DN45890_c0_g1_i1.p1	1617	1392.02	4457	195.879
TRINITY_DN49703_c1_g1_i1.p1	396	180.017	1154	392.176
TRINITY_DN69087_c0_g1_i1.p1	378	164.269	3249	1209.99
TRINITY_DN47472_c0_g1_i1.p1	762	537.084	1318	150.128
TRINITY_DN50199_c0_g1_i2.p1	807	582.046	1966	206.641
TRINITY_DN45998_c0_g1_i1.p1	891	666.018	904	83.0371
TRINITY_DN53659_c2_g1_i1.p1	381	166.904	948	347.482
TRINITY_DN52158_c0_g1_i1.p1	756	531.084	4291	494.294
TRINITY_DN43813_c0_g1_i1.p1	1260	1035.02	1446	85.4693
TRINITY_DN33760_c0_g1_i1.p1	1263	1038.02	2673	157.537
TRINITY_DN50712_c0_g2_i2.p1	750	525.084	335.026	39.0336
TRINITY_DN50712_c0_g2_i1.p1	711	486.142	1419.97	178.693
TRINITY_DN49441_c0_g1_i1.p1	822	597.032	679	69.5763
TRINITY_DN45487_c0_g1_i1.p1	765	540.078	254	28.7718
TRINITY_DN45009_c0_g1_i1.p1	2298	2073.02	3190	94.1406
TRINITY_DN24128_c0_g1_i1.p1	765	540.078	6407	725.752
TRINITY_DN24007_c0_g1_i1.p1	543	319.209	1152	220.784
TRINITY_DN52658_c0_g1_i2.p1	1977	1752.02	2094	73.1186
TRINITY_DN52841_c0_g1_i1.p1	1074	849.018	332	23.9227
TRINITY_DN55096_c2_g1_i1.p1	3678	3453.02	4328	76.6793
TRINITY_DN32669_c0_g1_i1.p1	543	319.209	5581	1069.61
TRINITY_DN55335_c0_g1_i1.p1	384	169.519	278	100.326
TRINITY_DN50550_c0_g1_i1.p1	633	408.402	458	68.6068
TRINITY_DN43004_c0_g1_i1.p1	594	369.598	3386	560.463
TRINITY_DN54884_c0_g1_i1.p1	402	185.435	529	174.523
TRINITY_DN55917_c3_g2_i2.p1	1176	951.018	108	6.94744
TRINITY_DN48898_c0_g1_i1.p1	1239	1014.02	98	5.91248
TRINITY_DN41219_c0_g1_i1.p1	330	124.45	29990	14742.5
TRINITY_DN51108_c0_g1_i1.p2	558	333.961	33171	6076.49
TRINITY_DN42517_c0_g1_i1.p1	330	124.45	18026	8861.24
TRINITY_DN52141_c0_g1_i1.p1	1077	852.018	2440	175.199
TRINITY_DN38000_c0_g1_i1.p1	498	275.344	14598	3243.45
TRINITY_DN48568_c0_g1_i1.p1	1095	870.018	7388	519.503
TRINITY_DN50900_c0_g1_i1.p1	537	313.315	799	156.011
TRINITY_DN50180_c0_g1_i1.p1	1077	852.018	1245	89.3944
TRINITY_DN1727_c0_g1_i1.p1	1995	1770.02	1035	35.7727
TRINITY_DN55478_c3_g1_i1.p1	639	414.369	575	84.8927
TRINITY_DN43352_c0_g1_i1.p1	1083	858.018	1522	108.519
TRINITY_DN53557_c2_g1_i1.p1	1134	909.018	488	32.8425
TRINITY_DN45946_c0_g1_i2.p1	729	504.108	1637	198.662
TRINITY_DN42800_c0_g1_i1.p1	765	540.078	30	3.39824
TRINITY_DN49835_c0_g1_i1.p1	1683	1458.02	102	4.27983
TRINITY_DN44766_c0_g1_i1.p1	1314	1089.02	1616	90.7812
TRINITY_DN48381_c0_g1_i1.p2	804	579.046	4788	505.861
TRINITY_DN48841_c0_g1_i1.p1	1452	1227.02	6914	344.721
TRINITY_DN88461_c0_g1_i1.p1	1032	807.018	11755	891.105
TRINITY_DN55943_c6_g1_i1.p1	369	156.584	70	27.3489
TRINITY_DN56930_c0_g1_i1.p1	1401	1176.02	5883	306.037
TRINITY_DN46136_c0_g1_i1.p1	327	122.097	1698	850.789
TRINITY_DN68594_c0_g1_i1.p1	816	591.032	1362	140.979
TRINITY_DN55002_c2_g2_i3.p3	876	651.018	386	36.273
TRINITY_DN54734_c3_g2_i1.p1	549	325.105	3815	717.894
TRINITY_DN53628_c0_g1_i1.p1	1668	1443.02	5192	220.116
TRINITY_DN34768_c0_g1_i1.p1	1182	957.018	814	52.0348
TRINITY_DN45687_c0_g1_i1.p1	606	381.546	6517	1044.94
TRINITY_DN53166_c0_g1_i1.p1	2307	2082.02	3164	92.9697
TRINITY_DN47909_c1_g1_i1.p1	633	408.402	4471	669.74
TRINITY_DN52243_c2_g1_i1.p1	1134	909.018	1793	120.669
TRINITY_DN51247_c0_g1_i1.p1	1038	813.018	1099	82.6965
TRINITY_DN46904_c0_g1_i1.p1	1140	915.018	49186	3288.53
TRINITY_DN51356_c0_g1_i1.p1	1803	1578.02	3276	127.005
TRINITY_DN52599_c0_g1_i1.p1	2373	2148.02	3079	87.6923
TRINITY_DN55260_c1_g2_i1.p1	417	198.977	2486	764.342
TRINITY_DN52208_c0_g1_i1.p1	927	702.018	2592	225.879
TRINITY_DN36816_c0_g1_i1.p1	1161	936.018	204	13.3332
TRINITY_DN50307_c1_g1_i1.p1	2013	1788.02	4086	139.803
TRINITY_DN51132_c0_g1_i1.p1	966	741.018	773	63.8176
TRINITY_DN44658_c0_g1_i1.p1	876	651.018	2123	199.502
TRINITY_DN48755_c0_g1_i1.p1	1755	1530.02	1016	40.6244
TRINITY_DN42584_c0_g1_i1.p1	693	468.169	4385	573.002
TRINITY_DN48258_c0_g1_i1.p1	693	468.169	4749	620.568
TRINITY_DN52553_c6_g1_i1.p1	774	549.078	3582	399.1
TRINITY_DN36500_c0_g1_i1.p1	540	316.253	791	153.014
TRINITY_DN27975_c0_g1_i1.p1	516	292.801	1015	212.072
TRINITY_DN54610_c7_g1_i2.p1	1215	990.018	439	27.1276
TRINITY_DN39879_c0_g3_i1.p1	555	331.03	2862	528.923
TRINITY_DN68593_c0_g1_i1.p1	330	124.45	2950	1450.16
TRINITY_DN51861_c0_g1_i1.p1	3771	3546.02	1778	30.6747
TRINITY_DN45321_c0_g1_i1.p1	2016	1791.02	2247	76.7525
TRINITY_DN55328_c3_g1_i1.p1	633	408.402	1034	154.89
TRINITY_DN51061_c0_g1_i1.p2	432	212.61	635	182.717
TRINITY_DN55097_c4_g1_i1.p1	723	498.113	464	56.9875
TRINITY_DN47375_c0_g1_i1.p1	798	573.046	1704	181.916
TRINITY_DN41396_c0_g1_i1.p1	615	390.466	113	17.7045
TRINITY_DN89015_c0_g1_i1.p1	939	714.018	44	3.76993
TRINITY_DN50813_c0_g1_i1.p1	1167	942.018	1433	93.0629
TRINITY_DN54387_c0_g1_i1.p1	1047	822.018	4465	332.299
TRINITY_DN17871_c0_g1_i1.p1	420	201.701	4178	1267.21
TRINITY_DN45013_c1_g1_i1.p1	384	169.519	2718	980.889
TRINITY_DN50940_c3_g1_i1.p1	885	660.018	3335	309.122
TRINITY_DN69517_c0_g1_i1.p1	411	193.536	1222	386.278
TRINITY_DN55687_c3_g1_i1.p1	969	744.018	636	52.2954
TRINITY_DN44036_c0_g1_i1.p1	1290	1065.02	57225	3287.14
TRINITY_DN16292_c0_g1_i1.p1	681	456.185	35	4.69371
TRINITY_DN23483_c0_g1_i1.p1	672	447.216	23949	3276.12
TRINITY_DN52263_c0_g1_i1.p1	1059	834.018	145	10.6361
TRINITY_DN23551_c0_g1_i1.p1	495	272.426	9796	2199.83
TRINITY_DN43314_c0_g1_i1.p1	441	220.924	3568	988.033
TRINITY_DN50335_c0_g1_i1.p1	975	750.018	572	46.6567
TRINITY_DN53884_c0_g1_i1.p1	1464	1239.02	1128	55.6956
TRINITY_DN48426_c0_g1_i2.p1	2202	1977.02	6558	202.932
TRINITY_DN53145_c0_g1_i1.p1	909	684.018	1512	135.23
TRINITY_DN23517_c0_g1_i1.p1	471	249.27	34747	8527.79
TRINITY_DN46077_c0_g1_i1.p1	780	555.065	4504	496.414
TRINITY_DN56110_c7_g7_i1.p1	306	106.008	1415	816.597
TRINITY_DN54663_c4_g5_i1.p1	1725	1500.02	1291	52.6525
TRINITY_DN56118_c6_g1_i2.p1	399	182.73	569	190.498
TRINITY_DN49458_c0_g1_i1.p1	660	435.257	1131	158.967
TRINITY_DN52967_c2_g1_i1.p1	1317	1092.02	67	3.75348
TRINITY_DN53706_c0_g1_i3.p1	924	699.018	568	49.7107
TRINITY_DN33928_c0_g1_i1.p2	1635	1410.02	3690	160.1
TRINITY_DN49494_c0_g1_i4.p1	1110	885.018	1106	76.4526
TRINITY_DN49944_c1_g1_i2.p2	456	234.99	1437	374.109
TRINITY_DN55021_c0_g1_i1.p1	1371	1146.02	538	28.7197
TRINITY_DN53925_c1_g2_i1.p1	885	660.018	240	22.2456
TRINITY_DN69000_c0_g1_i1.p1	1941	1716.02	1513	53.9395
TRINITY_DN48312_c2_g1_i1.p1	1224	999.018	1224	74.9545
TRINITY_DN51838_c0_g1_i1.p1	1371	1146.02	1703	90.9102
TRINITY_DN76477_c0_g1_i1.p1	519	295.702	1550	320.676
TRINITY_DN54372_c1_g1_i4.p1	1893	1668.02	375	13.7537
TRINITY_DN30195_c0_g1_i1.p1	501	278.219	47065	10349.1
