target_id	length	eff_length	est_counts	tpm
TRINITY_DN41427_c0_g1_i1.p1	1617	1480.06	6287	674.283
TRINITY_DN7563_c0_g1_i1.p1	375	239.885	489	323.582
TRINITY_DN41765_c0_g3_i2.p1	378	242.806	1010	660.298
TRINITY_DN37669_c0_g1_i2.p1	762	625.068	1878	476.92
TRINITY_DN52056_c0_g1_i1.p1	909	772.068	571	117.397
TRINITY_DN10540_c0_g2_i1.p1	894	757.068	733	153.69
TRINITY_DN6996_c0_g1_i1.p1	381	245.755	551	355.899
TRINITY_DN54322_c0_g1_i1.p1	756	619.076	901	231.025
TRINITY_DN35767_c1_g1_i1.p1	1260	1123.06	1135	160.425
TRINITY_DN52112_c0_g1_i1.p1	1266	1129.06	467	65.6565
TRINITY_DN39277_c0_g5_i1.p1	750	613.076	2873.27	743.944
TRINITY_DN39277_c0_g2_i1.p1	711	574.076	1517.73	419.664
TRINITY_DN51419_c0_g1_i1.p1	873	736.068	601	129.609
TRINITY_DN49651_c1_g1_i1.p1	765	628.068	412	104.128
TRINITY_DN28605_c0_g1_i2.p1	2298	2161.06	6513	478.401
TRINITY_DN56150_c0_g1_i1.p1	765	628.068	2635	665.965
TRINITY_DN46797_c0_g1_i1.p1	372	236.945	424	284.05
TRINITY_DN52174_c0_g1_i1.p1	1854	1717.06	722	66.7467
TRINITY_DN3593_c0_g2_i1.p1	945	808.058	857	168.351
TRINITY_DN50729_c0_g1_i1.p1	3690	3553.06	3342	149.308
TRINITY_DN25857_c0_g1_i1.p1	543	406.208	963	376.319
TRINITY_DN48148_c0_g1_i1.p1	384	248.645	182	116.19
TRINITY_DN46632_c0_g1_i1.p1	633	496.089	102	32.6376
TRINITY_DN11843_c0_g1_i1.p1	594	457.146	530	184.034
TRINITY_DN63408_c0_g1_i1.p1	402	266.342	1971	1174.69
TRINITY_DN27829_c0_g2_i1.p1	1176	1039.06	1387	211.892
TRINITY_DN23422_c0_g1_i1.p1	1227	1090.06	2307	335.951
TRINITY_DN29563_c0_g2_i1.p1	405	269.293	10828	6382.64
TRINITY_DN25942_c0_g1_i1.p1	447	310.771	3713	1896.54
TRINITY_DN55648_c0_g1_i1.p1	330	196.481	1787	1443.72
TRINITY_DN49078_c0_g1_i1.p1	594	457.146	155	53.8213
TRINITY_DN2353_c0_g2_i1.p1	498	361.403	15997	7026.27
TRINITY_DN15060_c0_g2_i1.p1	675	538.082	7797	2300.15
TRINITY_DN47269_c0_g1_i1.p1	537	400.242	314	124.533
TRINITY_DN41327_c0_g1_i1.p1	1059	922.058	909	156.489
TRINITY_DN45396_c0_g1_i1.p1	2154	2017.06	3237	254.743
TRINITY_DN54556_c1_g2_i2.p1	639	502.089	110	34.7768
TRINITY_DN51161_c0_g2_i1.p1	678	541.082	296	86.8372
TRINITY_DN37542_c0_g1_i1.p1	699	562.082	207	58.4585
TRINITY_DN49639_c1_g1_i1.p1	387	251.599	361	227.759
TRINITY_DN10379_c0_g1_i1.p2	408	272.238	120	69.9698
TRINITY_DN50517_c0_g1_i1.p1	1722	1585.06	10427	1044.22
TRINITY_DN40557_c0_g3_i1.p1	1176	1039.06	618	94.4118
TRINITY_DN57985_c0_g1_i1.p1	804	667.068	1525	362.892
TRINITY_DN66179_c0_g1_i1.p1	1452	1315.06	3491	421.388
TRINITY_DN18198_c0_g2_i1.p1	1032	895.058	2016	357.533
TRINITY_DN42549_c0_g1_i1.p1	426	289.96	98	53.6495
TRINITY_DN66440_c0_g1_i1.p1	1191	1054.06	1748	263.241
TRINITY_DN7795_c0_g1_i1.p1	327	193.624	551	451.721
TRINITY_DN63906_c0_g1_i1.p1	804	667.068	1069	254.381
TRINITY_DN52734_c1_g1_i2.p1	591	454.146	82	28.6613
TRINITY_DN31685_c0_g1_i1.p1	549	412.193	1216	468.285
TRINITY_DN18090_c0_g1_i2.p1	1668	1531.06	3283	340.374
TRINITY_DN9403_c0_g1_i1.p1	1179	1042.06	1248	190.108
TRINITY_DN33907_c0_g1_i1.p1	606	469.124	760	257.16
TRINITY_DN18098_c0_g1_i1.p1	2337	2200.06	30506	2201.04
TRINITY_DN33797_c0_g1_i1.p1	531	394.275	1699	684.024
TRINITY_DN48946_c0_g1_i1.p1	834	697.068	216	49.1877
TRINITY_DN63456_c0_g1_i1.p1	1035	898.058	14187	2507.63
TRINITY_DN55386_c0_g1_i1.p1	1056	919.058	1049	181.18
TRINITY_DN45988_c0_g1_i1.p1	1752	1615.06	1196	117.549
TRINITY_DN60601_c0_g1_i1.p1	2373	2236.06	3563	252.936
TRINITY_DN10122_c0_g1_i1.p1	417	281.081	10944	6180.48
TRINITY_DN48018_c0_g2_i1.p1	939	802.058	575	113.799
TRINITY_DN6171_c0_g1_i1.p1	1161	1024.06	9963	1544.34
TRINITY_DN58332_c0_g1_i1.p1	2016	1879.06	2671	225.637
TRINITY_DN58025_c0_g1_i1.p1	966	829.058	1508	288.731
TRINITY_DN19823_c0_g1_i1.p1	876	739.068	3128	671.831
TRINITY_DN50567_c0_g1_i1.p1	1026	889.058	277	49.4569
TRINITY_DN10154_c0_g1_i1.p1	693	556.082	4132	1179.5
TRINITY_DN44066_c0_g1_i1.p1	693	556.082	3622	1033.92
TRINITY_DN52972_c0_g1_i1.p1	774	637.068	592	147.507
TRINITY_DN45080_c0_g1_i1.p1	540	403.232	251	98.8089
TRINITY_DN70212_c0_g1_i1.p1	516	379.322	394	164.879
TRINITY_DN47209_c0_g1_i1.p1	666	529.089	75	22.5014
TRINITY_DN10209_c0_g1_i1.p1	618	481.107	1777	586.305
TRINITY_DN36906_c0_g1_i1.p1	330	196.481	531	428.994
TRINITY_DN36920_c0_g2_i1.p1	3408	3271.06	5274	255.935
TRINITY_DN11656_c0_g1_i1.p1	834	697.068	685	155.989
TRINITY_DN10236_c0_g1_i1.p1	633	496.089	1787	571.798
TRINITY_DN35960_c0_g1_i1.p2	432	295.9	1395	748.354
TRINITY_DN41784_c0_g1_i1.p1	723	586.076	679	183.905
TRINITY_DN63569_c0_g1_i1.p1	798	661.068	875	210.106
TRINITY_DN40339_c0_g1_i1.p1	612	475.107	1868	624.113
TRINITY_DN25996_c0_g1_i1.p1	648	511.089	163	50.6254
TRINITY_DN51549_c0_g4_i1.p1	1167	1030.06	1231	189.703
TRINITY_DN10160_c0_g1_i1.p1	1047	910.058	2888	503.739
TRINITY_DN58316_c0_g1_i1.p1	315	182.221	505	439.918
TRINITY_DN25843_c0_g1_i1.p1	384	248.645	934	596.274
TRINITY_DN40289_c0_g2_i2.p1	873	736.068	893	192.58
TRINITY_DN70643_c0_g1_i1.p1	417	281.081	791	446.707
TRINITY_DN49504_c0_g1_i1.p1	336	202.264	33	25.8984
TRINITY_DN18062_c0_g1_i1.p1	1290	1153.06	8868	1220.82
TRINITY_DN48911_c0_g1_i1.p1	429	292.921	70	37.9337
TRINITY_DN24757_c0_g1_i1.p1	672	535.082	12072	3581.26
TRINITY_DN17546_c0_g2_i1.p1	513	376.331	60	25.308
TRINITY_DN47111_c0_g1_i1.p1	477	340.541	1589	740.682
TRINITY_DN57923_c0_g1_i1.p1	441	304.838	8649	4503.75
TRINITY_DN33945_c0_g1_i1.p1	972	835.058	409	77.7471
TRINITY_DN45106_c0_g1_i1.p1	1032	895.058	621	110.133
TRINITY_DN40333_c0_g1_i1.p1	2202	2065.06	2775	213.309
TRINITY_DN46792_c0_g2_i1.p1	909	772.068	221	45.4375
TRINITY_DN10424_c0_g1_i1.p2	372	236.945	5031	3370.42
TRINITY_DN58842_c0_g1_i1.p2	780	643.068	1451	358.169
TRINITY_DN60977_c0_g1_i1.p1	306	173.805	359	327.877
TRINITY_DN38635_c0_g1_i1.p1	1761	1624.06	3533	345.318
TRINITY_DN22724_c0_g1_i1.p1	396	260.422	156	95.0878
TRINITY_DN46925_c0_g1_i1.p1	660	523.089	309	93.7693
TRINITY_DN54775_c0_g1_i1.p1	1503	1366.06	435	50.5473
TRINITY_DN67293_c0_g1_i1.p1	924	787.068	1566	315.833
TRINITY_DN58383_c0_g1_i1.p1	1635	1498.06	1869	198.042
TRINITY_DN39208_c0_g1_i1.p1	1182	1045.06	627	95.2367
TRINITY_DN27410_c0_g2_i1.p1	456	319.676	832	413.134
TRINITY_DN45617_c0_g1_i1.p1	642	505.089	123	38.6558
TRINITY_DN48255_c0_g3_i1.p1	885	748.068	459	97.3978
TRINITY_DN11355_c0_g1_i1.p1	1887	1750.06	2776	251.793
TRINITY_DN66980_c0_g1_i1.p1	933	796.068	1642	327.416
TRINITY_DN22708_c0_g1_i1.p1	1371	1234.06	3550	456.636
TRINITY_DN11328_c0_g1_i1.p1	519	382.318	296	122.898
TRINITY_DN66262_c0_g1_i1.p1	1893	1756.06	2071	187.206
TRINITY_DN3113_c0_g1_i1.p1	501	364.385	4522	1969.91
TRINITY_DN51527_c0_g1_i1.p1	387	251.599	127	80.1258
TRINITY_DN64111_c0_g1_i1.p1	840	703.068	1253	282.899
TRINITY_DN53015_c1_g1_i1.p1	321	187.913	30	25.3421
TRINITY_DN61166_c0_g1_i1.p1	1293	1156.06	2762	379.246
TRINITY_DN42023_c0_g1_i1.p1	459	322.649	7106	3496.01
TRINITY_DN48282_c0_g1_i1.p2	516	379.322	40	16.739
TRINITY_DN51430_c1_g1_i1.p1	1341	1204.06	325	42.8463
TRINITY_DN48917_c0_g2_i1.p1	426	289.96	300	164.233
TRINITY_DN54941_c2_g12_i1.p3	339	205.125	57	44.1096
TRINITY_DN70028_c0_g1_i1.p1	666	529.089	555	166.511
TRINITY_DN49077_c0_g1_i2.p1	945	808.058	148	29.0734
TRINITY_DN24281_c0_g2_i1.p1	1245	1108.06	1211	173.484
TRINITY_DN18195_c0_g2_i1.p1	861	724.068	1489	326.432
TRINITY_DN54958_c10_g2_i1.p1	603	466.124	570	194.112
TRINITY_DN39002_c0_g1_i1.p1	882	745.068	8471	1804.75
TRINITY_DN55457_c0_g1_i1.p1	1374	1237.06	5374	689.581
TRINITY_DN47568_c0_g1_i1.p1	1041	904.058	682	119.747
TRINITY_DN9252_c0_g1_i1.p2	429	292.921	593	321.352
TRINITY_DN41318_c0_g1_i1.p1	768	631.068	2677	673.364
TRINITY_DN69630_c0_g1_i1.p1	456	319.676	578	287.009
TRINITY_DN39291_c0_g2_i1.p1	411	275.165	74	42.689
TRINITY_DN60869_c0_g1_i1.p1	471	334.554	475	225.375
TRINITY_DN54520_c2_g1_i1.p1	552	415.188	1990	760.827
TRINITY_DN50876_c0_g1_i1.p1	342	208.015	678	517.384
TRINITY_DN41051_c0_g1_i1.p1	768	631.068	173	43.5158
TRINITY_DN53730_c0_g1_i1.p2	339	205.125	1952	1510.56
TRINITY_DN54960_c5_g1_i1.p1	408	272.238	1002	584.248
TRINITY_DN18248_c0_g1_i1.p1	372	236.945	1424	953.98
TRINITY_DN53443_c0_g1_i3.p1	1215	1078.06	729	107.34
TRINITY_DN63874_c0_g1_i1.p1	906	769.068	1195	246.65
TRINITY_DN10428_c0_g2_i1.p1	372	236.945	1406	941.921
TRINITY_DN46752_c0_g1_i1.p1	672	535.082	564	167.315
TRINITY_DN40047_c0_g1_i1.p1	753	616.076	211	54.3658
TRINITY_DN4946_c0_g2_i1.p1	1923	1786.06	4777	424.558
TRINITY_DN69328_c0_g1_i1.p1	930	793.068	6789	1358.85
TRINITY_DN66146_c0_g1_i1.p1	705	568.076	4143	1157.67
TRINITY_DN788_c0_g1_i1.p1	1461	1324.06	4667	559.511
TRINITY_DN57952_c0_g1_i1.p1	720	583.076	695	189.207
TRINITY_DN37349_c0_g1_i1.p1	933	796.068	3307	659.419
TRINITY_DN52113_c0_g2_i1.p1	1698	1561.06	1071	108.905
TRINITY_DN32179_c0_g1_i1.p1	1203	1066.06	10018	1491.69
TRINITY_DN60796_c0_g1_i1.p1	756	619.076	1405	360.255
TRINITY_DN32094_c0_g1_i1.p1	354	219.489	1680	1214.99
TRINITY_DN20247_c0_g1_i1.p1	1446	1309.06	2752	333.708
TRINITY_DN15327_c0_g1_i1.p1	1401	1264.06	4972	624.369
TRINITY_DN42233_c0_g1_i1.p1	345	210.897	80	60.2139
TRINITY_DN34442_c0_g2_i1.p1	396	260.422	150	91.4306
TRINITY_DN44892_c0_g1_i1.p1	846	709.068	1046	234.165
TRINITY_DN14992_c0_g2_i1.p1	1908	1771.06	18348	1644.5
TRINITY_DN19650_c0_g1_i1.p1	387	251.599	1542	972.866
TRINITY_DN33472_c1_g1_i1.p2	726	589.076	1376	370.787
TRINITY_DN17459_c0_g1_i1.p1	444	307.823	5710	2944.51
TRINITY_DN37484_c0_g2_i1.p1	1134	997.058	708	112.717
TRINITY_DN37772_c0_g3_i1.p1	903	766.068	1931	400.122
TRINITY_DN36977_c0_g1_i1.p2	468	331.594	1371	656.31
TRINITY_DN42376_c0_g1_i2.p1	399	263.377	3373	2032.9
TRINITY_DN66291_c0_g1_i1.p1	2286	2149.06	1813	133.914
TRINITY_DN51651_c1_g1_i1.p1	633	496.089	553	176.947
TRINITY_DN34041_c0_g2_i1.p1	348	213.745	760	564.411
TRINITY_DN69889_c0_g1_i1.p1	612	475.107	1512	505.171
TRINITY_DN38566_c0_g1_i1.p1	345	210.897	3596	2706.61
TRINITY_DN2383_c0_g1_i1.p1	963	826.058	1364	262.109
TRINITY_DN15487_c0_g1_i1.p1	984	847.058	1747	327.384
TRINITY_DN39863_c0_g1_i1.p1	369	234.054	1703	1154.99
TRINITY_DN66314_c0_g1_i1.p1	1431	1294.06	3069	376.462
TRINITY_DN66578_c0_g2_i1.p1	375	239.885	1037	686.205
TRINITY_DN48439_c1_g1_i2.p1	1269	1132.06	742	104.043
TRINITY_DN10341_c0_g2_i1.p1	993	856.058	4686	868.913
TRINITY_DN36873_c0_g1_i2.p1	1260	1123.06	1579	223.181
TRINITY_DN7899_c0_g1_i1.p1	693	556.082	1921	548.36
TRINITY_DN14536_c0_g1_i1.p1	1035	898.058	2022	357.4
TRINITY_DN53106_c0_g2_i1.p1	1068	931.058	457	77.9142
TRINITY_DN26828_c0_g1_i1.p1	363	228.194	27	18.7818
TRINITY_DN40761_c0_g1_i1.p1	1278	1141.06	1082	150.521
TRINITY_DN51267_c0_g1_i1.p1	1581	1444.06	420	46.1681
TRINITY_DN42698_c0_g2_i1.p1	783	646.068	690	169.531
TRINITY_DN32222_c0_g1_i1.p1	1761	1624.06	12033	1176.12
TRINITY_DN60726_c0_g1_i1.p1	3579	3442.06	5057	233.213
TRINITY_DN63778_c0_g1_i1.p1	879	742.068	937	200.435
TRINITY_DN29761_c0_g2_i1.p1	480	343.504	1199	554.07
TRINITY_DN18065_c0_g1_i1.p1	843	706.068	3191	717.394
TRINITY_DN404_c0_g2_i1.p1	477	340.541	1729	805.94
TRINITY_DN1165_c0_g1_i1.p1	633	496.089	794	254.061
TRINITY_DN41311_c0_g1_i2.p1	879	742.068	1032	220.757
TRINITY_DN69432_c0_g1_i1.p1	2391	2254.06	2212	155.775
TRINITY_DN46038_c0_g1_i1.p1	1923	1786.06	1106	98.2963
TRINITY_DN66690_c0_g1_i1.p1	729	592.076	1517	406.711
TRINITY_DN48516_c0_g1_i1.p1	984	847.058	546	102.319
TRINITY_DN57202_c0_g1_i1.p1	687	550.082	1239	357.537
TRINITY_DN35873_c0_g1_i1.p1	726	589.076	717	193.208
TRINITY_DN7896_c0_g1_i1.p1	825	688.068	706	162.874
TRINITY_DN7663_c0_g1_i1.p1	1089	952.058	3982	663.919
